loadId,relationshipType,fromDrniId,toDrniId,p2Create,p2CreateActivity,p3Create,p3CreateActivity,p2Latest,p3Latest,latest,drniId,internalPurpose,internalCreate,internalCreateActivity,isEndOfConnection,segmentNumber,seq
1000,HAS,100000,100001,,,,,TRUE,TRUE,2;3,200000,TRUE,TRUE,99999,,,
1001,HAS,100000,100002,,,,,TRUE,TRUE,2;3,200001,TRUE,TRUE,99999,,,
1002,HAS,100001,100003,,,,,TRUE,TRUE,2;3,200002,TRUE,TRUE,99999,,,
1003,HAS,100003,100004,,,,,TRUE,TRUE,2;3,200003,TRUE,TRUE,99999,,,
1004,HAS,100003,100005,,,,,TRUE,TRUE,2;3,200004,TRUE,TRUE,99999,,,
1005,HAS,100003,100006,,,,,TRUE,TRUE,2;3,200005,TRUE,TRUE,99999,,,
1006,HAS,100003,100007,,,,,TRUE,TRUE,2;3,200006,TRUE,TRUE,99999,,,
1007,HAS,100003,100008,,,,,TRUE,TRUE,2;3,200007,TRUE,TRUE,99999,,,
1008,HAS,100003,100009,,,,,TRUE,TRUE,2;3,200008,TRUE,TRUE,99999,,,
1009,HAS,100003,100010,,,,,TRUE,TRUE,2;3,200009,TRUE,TRUE,99999,,,
1010,HAS,100003,100011,,,,,TRUE,TRUE,2;3,200010,TRUE,TRUE,99999,,,
1011,HAS,100003,100012,,,,,TRUE,TRUE,2;3,200011,TRUE,TRUE,99999,,,
1012,HAS,100003,100013,,,,,TRUE,TRUE,2;3,200012,TRUE,TRUE,99999,,,
1013,HAS,100003,100014,,,,,TRUE,TRUE,2;3,200013,TRUE,TRUE,99999,,,
1014,HAS,100003,100015,,,,,TRUE,TRUE,2;3,200014,TRUE,TRUE,99999,,,
1015,HAS,100003,100016,,,,,TRUE,TRUE,2;3,200015,TRUE,TRUE,99999,,,
1016,HAS,100003,100017,,,,,TRUE,TRUE,2;3,200016,TRUE,TRUE,99999,,,
1017,HAS,100003,100018,,,,,TRUE,TRUE,2;3,200017,TRUE,TRUE,99999,,,
1018,HAS,100003,100019,,,,,TRUE,TRUE,2;3,200018,TRUE,TRUE,99999,,,
1019,HAS,100003,100020,,,,,TRUE,TRUE,2;3,200019,TRUE,TRUE,99999,,,
1020,HAS,100003,100021,,,,,TRUE,TRUE,2;3,200020,TRUE,TRUE,99999,,,
1021,HAS,100003,100022,,,,,TRUE,TRUE,2;3,200021,TRUE,TRUE,99999,,,
1022,HAS,100003,100023,,,,,TRUE,TRUE,2;3,200022,TRUE,TRUE,99999,,,
